Long,Lat,Junction_ID
-79.3694763,43.6510048,205
-79.5596771,43.7640419,206
-79.3685684,43.6588745,207
-79.4074707,43.6659164,208
-79.3739014,43.7117348,209
-79.5423813,43.7520943,210
-79.4953156,43.6161232,211
-79.2540283,43.7044067,212
-79.2905273,43.7613754,213
-79.1429291,43.7853088,214
-79.2184219,43.7720108,215
-79.2736664,43.7165527,216
-79.3900452,43.6472282,217
-79.3336334,43.7980537,218
-79.5091248,43.7581367,219
-79.3752823,43.6463623,220
-79.4109344,43.7615128,221
-79.2114182,43.7637329,222
-79.4000473,43.6579514,223
-79.3548737,43.6786575,224
-79.3771591,43.7110405,225
-79.2200241,43.8103409,226
-79.4145813,43.7717056,227
-79.3234177,43.8116417,228
-79.1690903,43.7603264,229
-79.3874435,43.664978,230
-79.2848358,43.7475204,231
-79.4357681,43.6899185,232
-79.3549347,43.6720123,233
-79.5132217,43.7393913,234
-79.560379,43.7510643,235
-79.3737259,43.6713295,236
-79.3527145,43.7996559,237
-79.3022156,43.8190308,238
-79.3446503,43.7646408,239
-79.3219986,43.8025932,240
-79.3787689,43.6543236,241
-79.4441757,43.6672173,242
-79.4394989,43.6391106,243
-79.2526321,43.7273941,244
-79.4497528,43.6944427,245
-79.5828857,43.653862,246
-79.2763596,43.7383957,247
-79.2867279,43.7000847,248
-79.3882446,43.760498,249
-79.3247681,43.6831207,250
-79.3258972,43.7845306,251
-79.2575912,43.7332764,252
-79.2874298,43.7817383,253
-79.2853851,43.6906395,254
-79.5040054,43.6888924,255
-79.3470383,43.7751083,256
-79.2670364,43.7299881,257
-79.3368912,43.7368126,258
-79.5348663,43.7104225,259
-79.5236969,43.5966988,260
-79.5033112,43.5960464,261
-79.4990921,43.7571373,262
-79.2737122,43.7817116,263
-79.2756042,43.7981644,264
-79.2511902,43.8366013,265
-79.336586,43.6690216,266
-79.3632584,43.7881088,267
-79.4259949,43.6427689,268
-79.337822,43.6803169,269
-79.2397308,43.7416115,270
-79.4058228,43.7785378,271
-79.4544525,43.6705246,272
-79.4010391,43.7086563,273
-79.2505341,43.7766724,274
-79.3116226,43.6705208,275
-79.4288635,43.7365913,276
-79.3277893,43.7273483,277
-79.2802048,43.6742744,278
-79.3448944,43.7361908,279
-79.403717,43.7308693,280
-79.5612564,43.6177788,281
-79.211174,43.7465401,282
-79.5305557,43.6467743,283
-79.3165894,43.7538567,284
-79.2071762,43.7490463,285
-79.2758408,43.7599525,286
-79.2775955,43.6974373,287
-79.2262573,43.7443962,288
-79.4497299,43.6919594,289
-79.38311,43.6613731,290
-79.3946304,43.662529,291
-79.5121231,43.7010918,292
-79.5340195,43.5943642,293
-79.3841553,43.6639061,294
-79.2906723,43.7886314,295
-79.5452271,43.7478828,296
-79.4077225,43.6564827,297
-79.4600449,43.6547089,298
-79.2329788,43.7795486,299
-79.2317581,43.7764397,300
-79.4309158,43.6382141,301
-79.3968582,43.6993332,302
-79.3009186,43.8030243,303
-79.536171,43.6037407,304
-79.396904,43.7709045,305
-79.2783966,43.7057724,306
-79.4117889,43.6666222,307
-79.4515533,43.699791,308
-79.434082,43.7056007,309
-79.4630508,43.6735382,310
-79.2954788,43.6709938,311
-79.446434,43.7020111,312
-79.5007629,43.6017609,313
-79.4995499,43.6621628,314
-79.573967,43.7210159,315
-79.3401794,43.6798782,316
-79.4785004,43.6932487,317
-79.4845352,43.7573624,318
-79.3957062,43.7223244,319
-79.1969299,43.7963257,320
-79.2644653,43.7496948,321
-79.2710571,43.6932983,322
-79.4653015,43.6535416,323
-79.4681091,43.7303391,324
-79.3210907,43.8181152,325
-79.3824921,43.6694145,326
-79.382637,43.6529732,327
-79.3191147,43.6657791,328
-79.3744125,43.6499252,329
-79.4209137,43.6630287,330
-79.4908524,43.698616,331
-79.1667252,43.804718,332
-79.3923264,43.6460571,333
-79.3770447,43.6601791,334
-79.2430801,43.812973,335
-79.2808151,43.811718,336
-79.560173,43.6289444,337
-79.3610458,43.6477394,338
-79.3300934,43.6689148,339
-79.2923889,43.6952782,340
-79.2886963,43.6920891,341
-79.2155991,43.8078041,342
-79.2596893,43.7598915,343
-79.3335571,43.7957573,344
-79.367981,43.6642876,345
-79.5214539,43.6944466,346
-79.3848572,43.6545486,347
-79.2683105,43.7875824,348
-79.1824036,43.7676277,349
-79.4401779,43.6461906,350
-79.4931641,43.603653,351
-79.2795181,43.7032204,352
-79.3871536,43.6711235,353
-79.5104294,43.7247734,354
-79.5192947,43.7394104,355
-79.4390335,43.6684685,356
-79.3046417,43.7432442,357
-79.3787384,43.6510582,358
-79.2577362,43.7307701,359
-79.5112762,43.7318192,360
-79.4910507,43.763504,361
-79.297287,43.7022209,362
-79.3501511,43.6595879,363
-79.2241592,43.8034515,364
-79.5770645,43.6902161,365
-79.2894592,43.7857628,366
-79.3436279,43.7074776,367
-79.501152,43.5997009,368
-79.5187607,43.769165,369
-79.5255051,43.6212349,370
-79.3679428,43.6548576,371
-79.3627396,43.759304,372
-79.4327621,43.7321625,373
-79.3404007,43.6681747,374
-79.4776764,43.6508217,375
-79.3162155,43.790844,376
-79.2733688,43.7984085,377
-79.4482651,43.7248802,378
-79.5994492,43.7309113,379
-79.4849014,43.7591019,380
-79.29879,43.7837029,381
-79.397644,43.6449547,382
-79.4926758,43.755455,383
-79.3175964,43.7518044,384
-79.5385361,43.6032104,385
-79.4054108,43.6361694,386
-79.3837662,43.6557198,387
-79.5572815,43.7476883,388
-79.2978973,43.6890411,389
-79.3343964,43.7099991,390
-79.2970352,43.6740265,391
-79.3115845,43.7038269,392
-79.4976349,43.6143265,393
-79.5138016,43.7198334,394
-79.3933716,43.6715469,395
-79.4263763,43.796627,396
-79.5421295,43.7508507,397
-79.2265778,43.7775917,398
-79.2400818,43.7423935,399
-79.4223557,43.6535072,400
-79.3531952,43.7619286,401
-79.4397583,43.6786957,402
-79.2987595,43.6842499,403
-79.40242,43.6694603,404
-79.4077148,43.64291,405
-79.5063782,43.6947136,406
-79.5459671,43.7676811,407
-79.3516541,43.7876511,408
-79.2531281,43.7698441,409
-79.5186157,43.6890259,410
-79.2736511,43.6943665,411
-79.3988647,43.6381226,412
-79.435257,43.7053566,413
-79.3709106,43.6679115,414
-79.4827499,43.6209297,415
-79.5401764,43.7626762,416
-79.3863678,43.6480103,417
-79.4350128,43.7754517,418
-79.4453049,43.7735176,419
-79.3038788,43.669178,420
-79.4873505,43.6172829,421
-79.2155685,43.7439499,422
-79.1862335,43.7752838,423
-79.2958679,43.6793861,424
-79.3909302,43.6703262,425
